STAT_DATE,XMMC,year,month,day
2016-04-14,(B)冬瓜(半),2016,4,14
2016-04-15,(B)冬瓜(半),2016,4,15
2016-04-16,(B)冬瓜(半),2016,4,16
2016-04-17,(B)冬瓜(半),2016,4,17
2016-04-18,(B)冬瓜(半),2016,4,18
2016-04-19,(B)冬瓜(半),2016,4,19
2016-04-20,(B)冬瓜(半),2016,4,20
2016-04-21,(B)冬瓜(半),2016,4,21
2016-04-22,(B)冬瓜(半),2016,4,22
2016-04-23,(B)冬瓜(半),2016,4,23
2016-04-24,(B)冬瓜(半),2016,4,24
2016-04-25,(B)冬瓜(半),2016,4,25
2016-04-26,(B)冬瓜(半),2016,4,26
2016-04-27,(B)冬瓜(半),2016,4,27
2016-04-28,(B)冬瓜(半),2016,4,28
2016-04-29,(B)冬瓜(半),2016,4,29
2016-04-30,(B)冬瓜(半),2016,4,30
2016-05-01,(B)冬瓜(半),2016,5,1
2016-05-02,(B)冬瓜(半),2016,5,2
2016-05-03,(B)冬瓜(半),2016,5,3
2016-05-04,(B)冬瓜(半),2016,5,4
2016-05-05,(B)冬瓜(半),2016,5,5
2016-05-06,(B)冬瓜(半),2016,5,6
2016-05-07,(B)冬瓜(半),2016,5,7
2016-05-08,(B)冬瓜(半),2016,5,8
2016-05-09,(B)冬瓜(半),2016,5,9
2016-05-10,(B)冬瓜(半),2016,5,10
2016-05-11,(B)冬瓜(半),2016,5,11
2016-05-12,(B)冬瓜(半),2016,5,12
2016-05-13,(B)冬瓜(半),2016,5,13
2016-05-14,(B)冬瓜(半),2016,5,14
2016-05-15,(B)冬瓜(半),2016,5,15
2016-05-16,(B)冬瓜(半),2016,5,16
2016-05-17,(B)冬瓜(半),2016,5,17
2016-05-18,(B)冬瓜(半),2016,5,18
2016-05-19,(B)冬瓜(半),2016,5,19
2016-05-20,(B)冬瓜(半),2016,5,20
2016-05-21,(B)冬瓜(半),2016,5,21
2016-05-22,(B)冬瓜(半),2016,5,22
2016-05-23,(B)冬瓜(半),2016,5,23
2016-05-24,(B)冬瓜(半),2016,5,24
2016-05-25,(B)冬瓜(半),2016,5,25
2016-05-26,(B)冬瓜(半),2016,5,26
2016-05-27,(B)冬瓜(半),2016,5,27
2016-05-28,(B)冬瓜(半),2016,5,28
2016-05-29,(B)冬瓜(半),2016,5,29
2016-05-30,(B)冬瓜(半),2016,5,30
2016-05-31,(B)冬瓜(半),2016,5,31
2016-06-01,(B)冬瓜(半),2016,6,1
2016-06-02,(B)冬瓜(半),2016,6,2
2016-06-03,(B)冬瓜(半),2016,6,3
2016-06-04,(B)冬瓜(半),2016,6,4
2016-06-05,(B)冬瓜(半),2016,6,5
2016-06-06,(B)冬瓜(半),2016,6,6
2016-06-07,(B)冬瓜(半),2016,6,7
2016-06-08,(B)冬瓜(半),2016,6,8
2016-06-09,(B)冬瓜(半),2016,6,9
2016-06-10,(B)冬瓜(半),2016,6,10
2016-06-11,(B)冬瓜(半),2016,6,11
2016-06-12,(B)冬瓜(半),2016,6,12
2016-06-13,(B)冬瓜(半),2016,6,13
2016-06-14,(B)冬瓜(半),2016,6,14
2016-06-15,(B)冬瓜(半),2016,6,15
