STAT_DATE,XMMC,day_of_week,common_holiday,holiday
20161020,(B)╤╛╧о(╟К),3,0,0
20161021,(B)╤╛╧о(╟К),4,0,0
20161022,(B)╤╛╧о(╟К),5,1,1
20161023,(B)╤╛╧о(╟К),6,1,1
20161024,(B)╤╛╧о(╟К),0,0,0
20161025,(B)╤╛╧о(╟К),1,0,0
20161026,(B)╤╛╧о(╟К),2,0,0
20161027,(B)╤╛╧о(╟К),3,0,0
20161028,(B)╤╛╧о(╟К),4,0,0
20161029,(B)╤╛╧о(╟К),5,1,1
20161030,(B)╤╛╧о(╟К),6,1,1
20161031,(B)╤╛╧о(╟К),0,0,0
20161101,(B)╤╛╧о(╟К),1,0,0
20161102,(B)╤╛╧о(╟К),2,0,0
20161103,(B)╤╛╧о(╟К),3,0,0
20161104,(B)╤╛╧о(╟К),4,0,0
20161105,(B)╤╛╧о(╟К),5,1,1
20161106,(B)╤╛╧о(╟К),6,1,1
20161107,(B)╤╛╧о(╟К),0,0,0
20161108,(B)╤╛╧о(╟К),1,0,0
