STAT_DATE,XMMC,CMSL,CMSL_outlier,same_week1_sales_percent
2016-03-31,(B)¶¬¹Ï(°ë),28,28.0,0.1137586471944658
2016-04-01,(B)¶¬¹Ï(°ë),56,45.5,0.1398923904688701
2016-04-02,(B)¶¬¹Ï(°ë),67,70.75,0.24289008455034589
2016-04-03,(B)¶¬¹Ï(°ë),80,80.0,0.2294820717131474
2016-04-04,(B)¶¬¹Ï(°ë),64,45.5,0.11155378486055777
2016-04-05,(B)¶¬¹Ï(°ë),33,33.0,0.09243027888446215
2016-04-06,(B)¶¬¹Ï(°ë),40,40.0,0.08605577689243028
2016-04-07,(B)¶¬¹Ï(°ë),31,31.0,0.08286852589641434
2016-04-08,(B)¶¬¹Ï(°ë),47,47.0,0.1450199203187251
2016-04-09,(B)¶¬¹Ï(°ë),75,75.0,0.25258964143426293
2016-04-10,(B)¶¬¹Ï(°ë),62,62.0,0.21670428893905191
2016-04-11,(B)¶¬¹Ï(°ë),48,48.0,0.10233258088788563
2016-04-12,(B)¶¬¹Ï(°ë),35,35.0,0.13544018058690746
2016-04-13,(B)¶¬¹Ï(°ë),44,44.0,0.11136192626034612
2016-04-14,(B)¶¬¹Ï(°ë),40,40.0,0.08427389014296463
2016-04-15,(B)¶¬¹Ï(°ë),59,46.5,0.13694507148231752
2016-04-16,(B)¶¬¹Ï(°ë),58,58.0,0.2129420617005267
2016-04-17,(B)¶¬¹Ï(°ë),62,62.0,0.22759601706970128
2016-04-18,(B)¶¬¹Ï(°ë),37,37.0,0.12944523470839261
2016-04-19,(B)¶¬¹Ï(°ë),39,39.0,0.09388335704125178
2016-04-20,(B)¶¬¹Ï(°ë),45,45.0,0.11379800853485064
2016-04-21,(B)¶¬¹Ï(°ë),43,43.0,0.08819345661450925
2016-04-22,(B)¶¬¹Ï(°ë),43,43.0,0.1337126600284495
2016-04-23,(B)¶¬¹Ï(°ë),69,69.0,0.21337126600284495
2016-04-24,(B)¶¬¹Ï(°ë),78,78.0,0.18590704647676162
2016-04-25,(B)¶¬¹Ï(°ë),30,37.0,0.14392803598200898
2016-04-26,(B)¶¬¹Ï(°ë),46,46.0,0.10494752623688156
2016-04-27,(B)¶¬¹Ï(°ë),51,46.5,0.13193403298350825
